year,x,y,n_sequences,variance
2015,0.16440197489544137,0.4872500488528032,19,0.07555511385430487
2016,0.30340537905164056,0.520231150846579,6,0.06243540481337933
2017,0.45231736248513243,0.562491810179093,32,0.08036720768991146
2018,0.70033855346348,0.6293384290498373,32,0.03562978380769749
2019,0.8668573978375216,0.7104551639938546,31,0.042710778862625635
2020,1.0610914959916091,0.7815768817758516,43,0.016465585314294175
2021,1.1750220459318441,0.9868290067729184,37,0.011986536733368282
2022,1.3770969465593783,1.0365949155283678,36,0.05187906217433661
2023,1.5093721904368738,1.164861806634335,16,0.02517822958253642
2024,1.5928617139727803,1.2216050670348768,21,0.0266781014275285
