year,x,y,radius,hyperbolic_radius,n_cases,n_sequences,variance
2015,0.027691308925257695,-0.4713159673491814,0.472128742683909,1.0256123333928115,6,0,0.024514488502720415
2016,0.004621265691315969,-0.4946374580621775,0.49465904521680604,1.0844200369689803,13,1,0.02932592551999271
2017,0.009401779252951561,-0.48688661892694673,0.4869773846322179,1.0641808088870714,7,0,0.05387821809211413
2018,0.009728453068476361,-0.481016290961537,0.4811146588595067,1.048867295061791,4,0,0.0313247887598969
2019,-0.042412286356237124,-0.4919017675550818,0.4937267978931032,1.0819530340751666,10,1,0.0545468869051233
2020,-0.011779435951828466,-0.491668204862066,0.49180929107086796,1.0768881631887102,4,0,0.026876047207299664
2021,-0.04982061278381334,-0.4854060172115595,0.4879560379822587,1.0667481859204668,8,0,0.06623468091392815
2022,-0.06871887516254195,-0.49496723971745243,0.49971477084144617,1.0978518221467943,2,0,0.05299920230170896
2023,-0.06058721501732668,-0.5235683467263236,0.5270622584830862,1.1721373210224606,4,0,0.04648252891780033
2024,-0.07731506948894261,-0.5198036714315143,0.5255220992534583,1.167876947419597,8,0,0.06486078789766635
