index	prefix_1	prefix_2	prefix_3	tree_depth	radius_A	radius_B
3	0	3	3	1	1.788	2.261
5	2	5	5	0	3.084	2.326
6	0	6	6	1	1.684	2.356
9	0	0	9	2	2.082	2.541
13	1	4	13	0	1.570	2.400
18	0	0	18	2	2.515	2.274
22	1	4	22	0	1.875	2.083
23	2	5	23	0	2.671	2.162
35	2	8	8	0	2.191	2.332
37	1	1	10	0	1.678	1.880
39	0	3	12	1	1.987	1.946
41	2	5	14	0	2.129	2.113
47	2	2	20	0	1.977	2.202
51	0	6	24	1	2.140	2.501
55	1	1	1	0	2.145	2.498
58	1	4	4	0	2.392	2.320
70	1	7	16	0	2.493	1.915
71	2	8	17	0	1.878	1.993
81	0	0	0	4	2.725	2.404
84	0	3	3	1	1.873	2.928
87	0	6	6	1	2.213	2.626
89	2	8	8	0	1.414	2.144
92	2	2	11	0	2.078	1.767
98	2	8	17	0	2.325	2.419
106	1	7	25	0	2.916	2.031
113	2	5	5	0	2.504	1.677
116	2	8	8	0	2.339	2.379
125	2	8	17	0	2.122	1.850
135	0	0	0	3	2.292	2.358
142	1	7	7	0	2.830	1.808
145	1	1	10	0	2.513	2.366
152	2	8	17	0	1.890	2.218
154	1	1	19	0	1.821	2.038
158	2	5	23	0	3.019	2.295
164	2	2	2	0	2.395	2.328
169	1	7	7	0	2.517	2.347
170	2	8	8	0	2.332	2.569
172	1	1	10	0	2.555	2.511
173	2	2	11	0	2.182	2.251
179	2	8	17	0	2.129	2.345
181	1	1	19	0	2.137	2.347
184	1	4	22	0	1.615	2.568
193	1	4	4	0	3.070	2.161
200	2	2	11	0	2.698	2.278
208	1	1	19	0	1.755	2.100
209	2	2	20	0	2.253	2.491
212	2	5	23	0	2.068	2.351
215	2	8	26	0	1.587	2.451
216	0	0	0	3	2.434	2.676
217	1	1	1	0	1.868	2.757
221	2	5	5	0	1.819	2.487
223	1	7	7	0	1.443	2.721
233	2	8	17	0	1.794	2.557
235	1	1	19	0	2.719	2.443
236	2	2	20	0	3.214	2.673
240	0	6	24	1	2.060	2.836
251	2	8	8	0	2.084	2.428
253	1	1	10	0	1.938	2.083
256	1	4	13	0	1.919	1.833
261	0	0	18	2	1.568	2.533
264	0	3	21	1	3.428	2.320
265	1	4	22	0	2.401	2.141
267	0	6	24	1	1.997	2.637
268	1	7	25	0	2.473	2.370
272	2	2	2	0	3.080	2.202
273	0	3	3	1	2.029	2.589
275	2	5	5	0	2.420	1.896
277	1	7	7	0	2.190	2.399
288	0	0	18	2	2.072	2.431
291	0	3	21	1	2.536	2.478
292	1	4	22	0	2.717	1.944
299	2	2	2	0	2.609	2.849
303	0	6	6	1	1.867	2.383
304	1	7	7	0	2.587	2.193
305	2	8	8	0	2.002	2.467
307	1	1	10	0	2.462	1.891
309	0	3	12	1	2.197	2.150
314	2	8	17	0	2.488	2.403
316	1	1	19	0	2.187	2.435
318	0	3	21	1	2.742	2.332
319	1	4	22	0	2.431	2.194
332	2	8	8	0	2.178	2.703
345	0	3	21	1	2.535	2.537
347	2	5	23	0	2.639	2.391
350	2	8	26	0	2.405	2.094
365	2	5	14	0	2.780	2.315
371	2	2	20	0	2.905	2.154
373	1	4	22	0	1.814	2.173
374	2	5	23	0	2.352	2.024
376	1	7	25	0	3.564	2.288
381	0	3	3	1	1.838	2.323
387	0	0	9	2	3.107	1.980
388	1	1	10	0	3.094	2.140
391	1	4	13	0	3.043	2.035
395	2	8	17	0	2.584	2.195
401	2	5	23	0	2.737	2.268
402	0	6	24	1	2.453	2.366
404	2	8	26	0	2.018	2.650
405	0	0	0	4	2.456	2.760
413	2	8	8	0	1.767	2.719
414	0	0	9	2	2.424	2.720
415	1	1	10	0	2.591	2.789
417	0	3	12	1	3.000	2.614
418	1	4	13	0	2.431	2.141
424	1	1	19	0	3.175	2.162
428	2	5	23	0	2.480	2.611
448	1	7	16	0	2.357	2.206
450	0	0	18	2	2.158	2.364
451	1	1	19	0	2.374	2.312
456	0	6	24	1	2.494	3.250
461	2	2	2	0	2.803	2.824
463	1	4	4	0	1.955	2.676
482	2	5	23	0	2.561	2.616
483	0	6	24	1	3.209	3.040
486	0	0	0	5	2.498	2.646
493	1	7	7	0	2.387	2.502
502	1	7	16	0	2.722	2.344
503	2	8	17	0	2.275	2.515
512	2	8	26	0	2.944	2.414
513	0	0	0	3	1.628	2.438
515	2	2	2	0	2.552	2.730
517	1	4	4	0	2.040	2.584
531	0	0	18	2	2.490	2.541
532	1	1	19	0	3.024	2.093
533	2	2	20	0	2.561	2.153
534	0	3	21	1	2.160	2.647
538	1	7	25	0	3.065	2.539
542	2	2	2	0	2.577	3.133
545	2	5	5	0	2.538	2.755
546	0	6	6	1	1.612	2.646
548	2	8	8	0	3.117	3.010
553	1	4	13	0	2.590	2.055
561	0	3	21	1	2.331	2.464
565	1	7	25	0	2.585	2.745
582	0	6	15	1	2.773	2.716
587	2	2	20	0	2.672	2.538
597	0	3	3	1	1.769	2.506
602	2	8	8	0	1.245	2.524
610	1	7	16	0	2.885	2.298
613	1	1	19	0	2.528	2.250
614	2	2	20	0	2.807	2.403
620	2	8	26	0	2.671	2.724
622	1	1	1	0	3.528	3.036
625	1	4	4	0	1.656	2.600
626	2	5	5	0	2.067	2.701
635	2	5	14	0	2.926	2.803
638	2	8	17	0	2.126	2.418
639	0	0	18	2	2.362	2.696
640	1	1	19	0	2.707	2.586
646	1	7	25	0	2.732	2.750
649	1	1	1	0	2.020	2.554
653	2	5	5	0	1.527	2.797
657	0	0	9	2	2.484	2.592
662	2	5	14	0	2.437	2.454
666	0	0	18	2	2.258	2.923
667	1	1	19	0	2.258	2.979
679	1	4	4	0	2.656	2.653
683	2	8	8	0	2.538	2.909
689	2	5	14	0	2.222	2.496
699	0	6	24	1	2.296	2.772
704	2	2	2	0	2.371	3.206
711	0	0	9	2	1.861	2.481
713	2	2	11	0	2.497	2.943
714	0	3	12	1	2.728	2.512
718	1	7	16	0	1.683	3.164
725	2	5	23	0	2.346	2.737
735	0	6	6	1	2.004	2.449
740	2	2	11	0	2.143	2.290
744	0	6	15	1	2.254	2.280
745	1	7	16	0	2.282	2.308
756	0	0	0	3	1.312	2.437
759	0	3	3	1	2.300	1.913
775	1	1	19	0	3.193	1.787
778	1	4	22	0	2.751	2.328
783	0	0	0	3	2.626	2.434
793	1	1	10	0	2.604	2.113
800	2	8	17	0	2.272	1.864
804	0	3	21	1	2.770	1.956
809	2	8	26	0	2.237	2.227
812	2	2	2	0	1.899	2.402
819	0	0	9	2	2.177	2.302
820	1	1	10	0	2.785	2.144
828	0	0	18	2	1.866	2.137
834	0	6	24	1	2.621	2.348
841	1	4	4	0	2.726	1.961
843	0	6	6	1	2.524	2.354
844	1	7	7	0	2.462	2.330
847	1	1	10	0	3.019	2.508
849	0	3	12	1	1.766	1.988
854	2	8	17	0	2.923	1.843
860	2	5	23	0	2.649	2.019
861	0	6	24	1	1.935	2.367
863	2	8	26	0	1.927	2.840
869	2	5	5	0	1.649	2.618
873	0	0	9	2	3.137	2.779
878	2	5	14	0	3.245	2.588
881	2	8	17	0	2.961	2.274
883	1	1	19	0	2.287	2.089
888	0	6	24	1	2.570	2.321
896	2	5	5	0	3.289	2.127
899	2	8	8	0	2.173	2.214
904	1	4	13	0	3.012	2.311
923	2	5	5	0	2.833	2.205
924	0	6	6	1	2.492	2.283
929	2	2	11	0	2.799	2.491
936	0	0	18	2	2.738	2.565
940	1	4	22	0	1.633	1.998
944	2	8	26	0	2.016	2.876
945	0	0	0	3	2.413	2.727
948	0	3	3	1	2.068	2.343
951	0	6	6	1	2.412	2.489
956	2	2	11	0	2.988	2.283
960	0	6	15	1	1.607	2.434
961	1	7	16	0	1.883	2.624
965	2	2	20	0	2.185	2.463
966	0	3	21	1	3.382	2.717
970	1	7	25	0	1.888	2.336
976	1	4	4	0	2.757	1.804
992	2	2	20	0	2.513	2.424
1001	2	2	2	0	3.797	2.540
1004	2	5	5	0	2.815	2.417
1009	1	1	10	0	2.624	1.966
1011	0	3	12	1	1.889	2.226
1015	1	7	16	0	2.630	2.369
1016	2	8	17	0	1.977	2.572
1018	1	1	19	0	2.806	2.289
1020	0	3	21	1	2.358	2.275
1022	2	5	23	0	1.959	1.927
1024	1	7	25	0	1.897	1.993
1029	0	3	3	1	2.708	2.310
1034	2	8	8	0	2.543	2.684
1038	0	3	12	1	2.982	2.312
1039	1	4	13	0	3.185	2.219
1041	0	6	15	1	2.707	2.428
