year,x,y,n_sequences,variance
2015,0.03147801542876367,0.20160283978540822,48,0.04477831645730917
2016,0.13140570806166993,0.23905374545679248,15,0.03696544560614045
2017,0.15978863023471437,0.1839622642746232,9,0.06323058305935796
2018,0.18112275138947898,0.26934703240070085,20,0.0835302495589238
2019,0.12358720159769564,0.21689413275614097,33,0.08583588048137199
2020,0.060740853133587236,0.1586410413957061,30,0.0512093058299281
2021,0.08518645622979362,0.07335935139751948,45,0.0690937738102466
2022,0.10820513349263146,0.041174469389945054,5,0.06756901170392808
2023,0.05831733036922683,0.05089575950462877,35,0.0877339353380981
2024,0.0909844577024614,-0.03478546948149025,30,0.09821683433294356
