Antibody,n_tested,n_neutralized,breadth_pct,is_bnab,bnab_class
m66.6,335,335,100.0,False,Other
m66 Y100e(HC)W,47,47,100.0,False,Other
m66 S31(LC)K,40,40,100.0,False,Other
m66 S28(LC)H-G30(LC)K-S31(LC)K,47,47,100.0,False,Other
m66 S28(LC)H-G30(LC)K,40,40,100.0,False,Other
m66 S28(LC)H,40,40,100.0,False,Other
m66 G30(LC)K,47,47,100.0,False,Other
10-410,10,10,100.0,False,Other
10-303,10,10,100.0,False,Other
10-259,10,10,100.0,False,Other
10-1369,10,10,100.0,False,Other
10-1341,10,10,100.0,False,Other
10-1146,10,10,100.0,False,Other
10-1130,10,10,100.0,False,Other
10-1121,10,10,100.0,False,Other
10-1074V,200,200,100.0,False,Other
10-1074GM,26,26,100.0,False,Other
10-1074-y4,14,14,100.0,False,Other
10-1074-y3,14,14,100.0,False,Other
10-1074-y2,14,14,100.0,False,Other
10-1074-y1,14,14,100.0,False,Other
10-1074-v15,14,14,100.0,False,Other
10-1074-v1,14,14,100.0,False,Other
10E8+PG9+VRC07,125,125,100.0,False,Other
10E8+PG9+PGT128+VRC07,125,125,100.0,False,Other
10E8+PG9+PGT128,125,125,100.0,False,Other
10E8+PG9,250,250,100.0,False,Other
10E8+3BNC117+PG9,125,125,100.0,False,Other
10E8+3BNC117,125,125,100.0,False,Other
10E8+2F5,20,20,100.0,False,Other
10E8 IgG mutant 3,108,108,100.0,False,Other
10E8 IgG mutant 1,108,108,100.0,False,Other
10E8,4116,4116,100.0,True,MPER
10A3,22,22,100.0,False,Other
10-996,239,239,100.0,False,Other
10-847,10,10,100.0,False,Other
10E8-2fH/4fL,21,21,100.0,False,Other
10E8-2fH/10fL,21,21,100.0,False,Other
10E8-2fH/0fL,21,21,100.0,False,Other
10E8-19fH/16fL,21,21,100.0,False,Other
10E8-19fH/10fL,21,21,100.0,False,Other
10E8-10fH/4fL,21,21,100.0,False,Other
10E8-10fH/16fL,21,21,100.0,False,Other
10E8-10fH/10fL,21,21,100.0,False,Other
10E8-0fH/4fL,21,21,100.0,False,Other
10E8-0fH/0fL,21,21,100.0,False,Other
10E8+b12,20,20,100.0,False,Other
10E8+VRC07,125,125,100.0,False,Other
10E8+VRC01,19,19,100.0,False,Other
10E8+PGT128+VRC07,125,125,100.0,False,Other
10E8+PGT128,125,125,100.0,False,Other
